slide_width_pt,slide_height_pt,slide_index,shape_id,shape_name,shape_type,left_pt,top_pt,width_pt,height_pt,left_pct,top_pct,width_pct,height_pct,rotation_deg,fill_hex,fill_transparency,line_hex,line_weight_pt,line_transparency,zorder,rounded_radius_pct
960.0000,540.0000,1,8,Rectangle 7,AutoShape,433.6000,318.7200,15.3600,4.8000,0.4517,0.5902,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,1,
960.0000,540.0000,1,9,Rectangle 8,AutoShape,441.5330,307.4738,15.3600,4.8000,0.4599,0.5694,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,2,
960.0000,540.0000,1,10,Rectangle 9,AutoShape,447.7730,297.3939,15.3600,4.8000,0.4664,0.5507,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,3,
960.0000,540.0000,1,11,Rectangle 10,AutoShape,453.3729,287.3140,15.3600,4.8000,0.4723,0.5321,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,4,
960.0000,540.0000,1,12,Rectangle 11,AutoShape,460.6659,275.7477,15.3600,4.8000,0.4799,0.5106,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,5,
960.0000,540.0000,1,14,Rectangle 13,AutoShape,466.7978,265.9879,15.3600,4.8000,0.4862,0.4926,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,6,
960.0000,540.0000,1,15,Rectangle 14,AutoShape,472.9297,255.6322,15.3600,4.8000,0.4926,0.4734,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,7,
960.0000,540.0000,1,16,Rectangle 15,AutoShape,479.0616,245.1965,15.3600,4.8000,0.4990,0.4541,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,8,
960.0000,540.0000,1,17,Rectangle 16,AutoShape,485.1937,234.7607,15.3600,4.8000,0.5054,0.4347,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,9,
960.0000,540.0000,1,18,Rectangle 17,AutoShape,491.3258,224.3250,15.3600,4.8000,0.5118,0.4154,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,10,
960.0000,540.0000,1,19,Rectangle 18,AutoShape,497.4580,213.0786,15.3600,4.8000,0.5182,0.3946,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,11,
960.0000,540.0000,1,20,Rectangle 19,AutoShape,505.3909,202.6428,15.3600,4.8000,0.5264,0.3753,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,12,
960.0000,540.0000,1,21,Rectangle 20,AutoShape,514.9980,192.2782,18.0238,6.3772,0.5365,0.3561,0.0188,0.0118,67.578,#FFFF00,0.000,#042433,1.500,0.000,13,
960.0000,540.0000,1,22,Rectangle 21,AutoShape,532.4639,187.0335,15.3600,4.8000,0.5546,0.3464,0.0160,0.0089,67.428,#FFFF00,0.000,#042433,1.500,0.000,14,
960.0000,540.0000,1,25,Rectangle 24,AutoShape,455.0454,338.9768,15.3600,4.8000,0.4740,0.6277,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,15,
960.0000,540.0000,1,26,Rectangle 25,AutoShape,463.5487,326.7500,15.3600,4.8000,0.4829,0.6051,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,16,
960.0000,540.0000,1,27,Rectangle 26,AutoShape,469.2389,316.9903,15.3600,4.8000,0.4888,0.5870,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,17,
960.0000,540.0000,1,28,Rectangle 27,AutoShape,476.5319,306.1288,15.3600,4.8000,0.4964,0.5669,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,18,
960.0000,540.0000,1,29,Rectangle 28,AutoShape,483.3343,295.7732,15.3600,4.8000,0.5035,0.5477,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,19,
960.0000,540.0000,1,30,Rectangle 29,AutoShape,488.7956,285.2501,15.3600,4.8000,0.5092,0.5282,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,20,
960.0000,540.0000,1,31,Rectangle 30,AutoShape,495.2619,274.7269,15.3600,4.8000,0.5159,0.5088,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,21,
960.0000,540.0000,1,32,Rectangle 31,AutoShape,501.7282,263.6060,15.3600,4.8000,0.5226,0.4882,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,22,
960.0000,540.0000,1,33,Rectangle 32,AutoShape,507.2022,253.8554,15.3600,4.8000,0.5283,0.4701,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,23,
960.0000,540.0000,1,34,Rectangle 33,AutoShape,513.9574,243.9298,15.3600,4.8000,0.5354,0.4517,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,24,
960.0000,540.0000,1,35,Rectangle 34,AutoShape,521.2568,232.1441,15.3600,4.8000,0.5430,0.4299,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,25,
960.0000,540.0000,1,36,Rectangle 35,AutoShape,534.1865,219.4984,15.3600,4.8000,0.5564,0.4065,0.0160,0.0089,76.505,#FFFF00,0.000,#042433,1.500,0.000,26,
960.0000,540.0000,1,37,Rectangle 36,AutoShape,404.8956,310.6512,15.3600,4.8000,0.4218,0.5753,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,27,
